,qid,docid,rating,bm25,passage_length,c,df,cf,idf,c_idf
0,539478,2693464,0,0.0,258,0,91835,113542,19.629243074732376,0.0
1,400705,7629915,0,0.0,205,0,150809,186927,17.536044922000254,0.0
2,2797,3365674,0,0.0,282,0,622866,810154,15.54475528637802,0.0
3,734390,6235369,0,0.0,505,0,780361,969702,7.419493626539406,0.0
4,345809,971793,0,0.0,296,0,756389,955734,9.926724921537124,0.0
5,145408,1721824,0,0.0,280,0,154339,179345,21.18496969852227,0.0
6,959439,7272868,0,0.0,284,0,1108542,1331021,6.450164364020695,0.0
7,999955,6198969,0,0.0,605,0,370352,443111,16.09026773805716,0.0
8,549603,4909175,0,0.0,326,0,759539,940695,12.292734814111135,0.0
9,931918,6316261,0,0.0,232,0,568917,697840,10.80135535449632,0.0
10,53329,3193503,0,0.0,335,0,435621,623509,16.810310129183144,0.0
11,565119,3643097,0,0.0,316,0,543552,664794,8.178171778752967,0.0
12,375282,2003443,0,0.0,119,0,738505,948982,9.99810086294767,0.0
13,35140,4619355,0,0.0,176,0,1402041,2221760,14.808354517213967,0.0
14,697110,1422196,0,0.0,293,0,607196,781047,8.059228857274714,0.0
15,531991,7479391,0,0.0,248,0,428322,556671,15.42602120415049,0.0
16,15838,7486504,0,0.0,436,0,496983,776186,22.54307888651851,0.0
17,622966,5745889,0,0.0,237,0,1891618,2420202,15.097742965416781,0.0
18,423073,8026477,0,0.0,259,0,512526,662035,20.87938703126188,0.0
19,801803,7197377,0,0.0,245,0,1140897,1475601,8.824407692810265,0.0
20,784532,3610863,0,1.273531436920166,562,1,933802,1226225,7.588267443864565,15.766421587627983
21,286141,8277375,0,0.0,111,0,1925456,2512601,14.953181501992175,0.0
22,208120,2684316,0,0.0,193,0,3324815,4129194,13.019869775725768,0.0
23,576117,4260791,0,0.0,357,0,691807,922466,7.918180789657628,0.0
24,1142916,3016000,0,0.0,299,0,105568,124555,8.841405312608178,0.0
25,952082,3372033,0,1.2822113037109375,264,1,941911,1140181,6.512623012729986,13.155934223508861
26,1048676,3560094,0,0.0,520,0,730556,917749,10.236651317222591,0.0
27,598778,8401556,0,1.517653465270996,342,1,729937,957739,10.123161288941384,25.78586245835119
28,140747,6954488,0,0.0,845,0,157971,233098,22.769164968790744,0.0
29,292517,3964963,0,0.0,725,0,2908744,3700055,9.27655599467673,0.0
30,327147,7733034,0,0.0,333,0,1001285,1297417,9.075470852691502,0.0
31,929873,6336608,0,0.0,303,0,633820,806199,8.013065351888663,0.0
32,205930,5162960,0,0.0,319,0,264232,360926,18.34015126577046,0.0
33,447944,7007483,0,0.0,315,0,390254,561320,6.150670321042765,0.0
34,143704,6314520,0,0.0,504,0,1286645,1678089,25.275109265344003,0.0
35,976351,4646158,0,0.0,319,0,508543,605865,9.453137791449986,0.0
36,1145857,7735656,0,0.0,172,0,887086,1191398,11.73095618052474,0.0
37,1172480,5817999,0,0.0,237,0,154956,228372,16.36387003361705,0.0
38,327731,2264181,0,0.0,302,0,3333507,5570151,8.57179008119827,0.0
39,239540,5446079,0,1.4288415908813477,376,1,996284,1243977,13.450875471121103,48.8611783213558
40,266231,8437087,0,1.9119117259979248,210,1,1426558,1804343,13.872790770000917,57.17735597557467
41,233378,5667541,0,0.0,324,0,1345064,1752722,12.599182602231602,0.0
42,105112,5805453,0,0.0,296,0,628539,1043942,12.656830081147872,0.0
43,230362,3982742,0,0.0,228,0,1283497,1682454,20.415123519305023,0.0
